indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.17,99.47,6.36,0.25,0,351,26.4,70.1,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,292,1,1.04,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,High Hydraulic Burst & Lipid Resistance,Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.2,99.57,6.44,0.25,0,202,36.9,48.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,301,1.9,1.32,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.49,21.27,6.33,0.68,0,20,24.1,68.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,24,61.6,3.74,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.19,0.48,5.2,0.35,0,304,34.9,47.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,86,1.2,0.64,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,High Drop & Puncture Resistance (>50 kgf),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,8.98,4.42,6.22,0.45,0,289,25,42.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,77,0.6,0.72,Heat Seal with Resealable Bio-Zipper,Aroma-Lock High Puncture Resistance,No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.74,12.3,6.12,0.25,0,126,38,47.6,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,63,20.7,0.94,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Nashik Red Onions,Fresh Horticultural Produce,E015,86.78,0.1,5.67,0.95,8,83,28.6,74.7,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,205,28130.4,187.99,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,2.14,31.61,5.89,0.24,0,101,34.6,75.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,72,0.9,0.75,Hermetic Lap Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Basmati Rice (Aged),Grains & Flours,A005,11.79,0.59,6.49,0.56,0,670,32.7,53.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,109,208.3,4.19,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,81.69,0.37,4.24,0.98,29.5,14,11.1,85.5,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,43,5000.1,34.95,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.25,1.72,6.33,0.58,0,154,26.7,50.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,105,243.8,5.67,Heat Sealable Bottom / Pinch Top Bio-Adhesive,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.22,21.06,6.28,0.68,0,20,28.2,61.6,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,27,84.4,4.81,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.67,35.06,5.91,0.22,0,138,33.7,89.9,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,64,0.8,0.82,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.82,5.33,6.38,0.54,0,142,26.5,63,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,90,137.6,3.85,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Basmati Rice (Aged),Grains & Flours,A005,11.82,0.58,6.51,0.56,0,421,22.2,71.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,92,108.6,3.41,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.04,11.71,5.77,0.85,0,230,24.2,54.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,108,1.1,0.52,Hermetic Impulse Heat Seal (Liquid Tight),High Hydrostatic Pressure & Burst Resistant (>180 kPa),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.57,35.45,5.93,0.22,0,160,29.6,73.5,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,57,1.2,0.87,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Puncture Resistant against Sharp Fried Gram Strands,Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Nashik Red Onions,Fresh Horticultural Produce,E015,87.03,0.1,5.57,0.95,7,65,23.9,74.7,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,175,35322.9,229.59,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.24,21.38,6.32,0.68,0,40,31.1,61.6,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,35,71,3.56,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,48.29,22.55,3.3,0.78,0,346,23.6,58.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,111,0.5,0.73,Ultrasonic Spout Weld + Hermetic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.68,2.94,6.5,0.99,0,11,0.5,92.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,107,2.2,2.24,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.06,21.19,6.29,0.68,0,40,28.6,58.9,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,26,50.9,3.94,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,1.84,32.52,5.75,0.24,0,133,37.9,74.9,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,68,1.4,0.57,Hermetic Lap Heat Seal,Puncture Proof against Sharp Chip Edges,Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.17,0.47,5.16,0.35,0,363,27.1,77.6,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,97,0.7,0.57,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,13.19,1.73,6.51,0.55,0,159,31.2,45.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,60,81.7,2.4,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,9.94,1.48,6.4,0.52,0,256,25.7,44.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,58,81.5,3.35,Continuous Band Heat Seal (110-125°C),High Dart Impact & Puncture Resistance against sharp dal edges,No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.17,99.55,6.4,0.25,0,249,30.6,71.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,331,1.2,0.94,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,High Hydraulic Burst & Lipid Resistance,Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.84,4.25,4.19,0.99,0,22,2.3,85.9,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,357,3.6,1.49,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
